RAL,pl,en,de,nl,fr,it,es,lt
RAL 9004,Czarny sygnałowy,Signal black,Signalschwarz,Signaalzwart,Noir de sécurité,Nero segnale,Negro señales,Signalinė juoda
RAL 9005,Czarny jak kruk,Jet black,Tiefschwarz,Gitzwart,Noir foncé,Nero intenso,Negro intenso,Tamsiai juoda
RAL 9006,Białe aluminium,White aluminium,Weißaluminium,Blank aluminiumkleurig,Aluminium blanc,Alluminio brillante,Aluminio blanco,Aliuminio balta
RAL 9007,Szare aluminium,Grey aluminium,Graualuminium,Grijs aluminiumkleurig,Aluminium gris,Alluminio grigiastro,Aluminio gris,Aliuminio pilka
RAL 9010,Czysty biały,Pure white,Reinweiß,Zuiver wit,Blanc pur,Bianco puro,Blanco puro,Grynai balta
RAL 9011,Czarny grafitowy,Graphite black,Graphitschwarz,Grafietzwart,Noir graphite,Nero grafite,Negro grafito,Grafito juoda
RAL 9016,Biały drogowy,Traffic white,Verkehrsweiß,Verkeerswit,Blanc signalisation,Bianco traffico,Blanco tráfico,Kelininkų balta
RAL 9017,Ruch czarny,Traffic black,Verkehrsschwarz,Verkeerszwart,Noir signalisation,Nero traffico,Negro tráfico,Kelininkų juoda
RAL 9018,Biały papirus,Papyrus white,Papyrusweiß,Papyruswit,Blanc papyrus,Bianco papiro,Blanco papiro,Papiruso balta
RAL 9022,Perłowy jasnoszary,Pearl light grey,Perlhellgrau,Parelmoer lichtgrijs,Gris clair nacré,Grigio chiaro perlato,Gris claro perlado,Perlo šviesiai pilka
RAL 9023,Perłowy ciemnoszary,Pearl dark grey,Perldunkelgrau,Parelmoer donkergrijs,Gris fonçé nacré,Grigio scuro perlato,Gris oscuro perlado,Perlo tamsiai pilka
